입국자국가,국가코드,입국연월,입국자 수
중국,112,201701,565243
중국,112,201702,590790
중국,112,201703,360782
중국,112,201704,227811
중국,112,201705,253359
중국,112,201706,254930
중국,112,201707,281263
중국,112,201708,339388
중국,112,201709,318682
중국,112,201710,345384
중국,112,201711,299247
중국,112,201712,332474
중국,112,201801,305127
중국,112,201802,345341
중국,112,201803,403413
중국,112,201804,366604
중국,112,201805,370222
중국,112,201806,379891
중국,112,201807,410337
중국,112,201808,478140
중국,112,201809,434595
중국,112,201810,475307
중국,112,201811,404256
중국,112,201812,416279
